,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
0,0,1633046400000,43820.01,44059.0,43661.63,43694.48,2001.56071,1633049999999,46349,1,100.0,1,0,0.0,0.0,0.0,0,0,0,1,43694.48,0,43694.48,0,43860.315,43860.315,43860.315,43860.315,0,0,-1
1,1,1633050000000,43696.14,43803.94,43417.61,43742.74,1292.55848,1633053599999,31943,1,100.0,1,0,0.0,0.0,0.0,0,0,0,1,43742.74,0,43718.61,1,43738.305,43738.305,43738.305,43738.305,0,0,1
2,2,1633053600000,43742.74,43794.89,43283.03,43379.01,1348.70735,1633057199999,30477,1,10.968948877542928,0,1,0.0,0.0,0.0,0,0,0,1,44059.0,0,43605.41,0,43671.015,43671.015,43671.015,43671.015,0,0,-1
3,3,1633057200000,43379.0,43680.0,43352.28,43635.79,993.1198,1633060799999,25845,1,46.90655585398166,0,0,0.0,0.0,0.0,0,0,0,1,44043.4806,0,43613.005000000005,1,43671.015,43671.015,43671.015,43671.015,0,0,-1
4,4,1633060800000,43635.79,43715.71,43456.46,43625.02,982.32555,1633064399999,24892,1,46.06664455055323,0,0,0.0,0.0,0.0,0,0,0,1,44028.271588,0,43615.408,1,43671.015,43671.015,43671.015,43671.015,0,0,-1
5,5,1633064400000,43625.02,43923.21,43515.61,43850.33,1190.57391,1633067999999,28257,1,61.56984758639441,0,0,0.0,0.0,0.0,1,1,0,1,44013.36675624,0,43654.56166666667,1,43671.015,43671.015,43671.015,43671.015,0,0,1
6,6,1633068000000,43850.32,44048.56,43729.0,43995.09,1537.37407,1633071599999,34797,1,67.94526929665,0,0,0.0,0.0,0.0,1,1,0,1,43283.03,1,43703.20857142857,1,43671.015,43671.015,43671.015,43671.015,0,0,1
7,7,1633071600000,43995.1,44836.0,43916.26,44788.42,4789.79567,1633075199999,104421,1,83.80337528391087,1,0,0.0,0.0,0.0,1,1,0,1,43298.340599999996,1,43838.86,1,44059.515,44059.515,44059.515,44059.515,0,0,1
8,8,1633075200000,44788.42,44999.0,44700.0,44945.8,2953.83714,1633078799999,78275,1,85.35158621533434,1,0,0.0,0.0,0.0,1,1,0,1,43359.84697599999,1,43961.85333333333,1,44141.015,44141.015,44141.015,44141.015,0,0,1
9,9,1633078800000,44945.81,45000.0,44767.29,44906.0,1809.73051,1633082399999,56723,1,83.18600686255107,1,0,0.0,0.0,0.0,1,1,0,1,43458.19615743999,1,44096.46666666667,1,44141.515,44141.515,44141.515,44141.515,0,0,1
10,10,1633082400000,44905.99,47786.7,44829.4,47081.46,12252.88214,1633085999999,292718,1,93.2569635333572,1,0,0.0,0.0,0.0,1,1,0,1,43581.54046484479,1,44467.43555555555,1,45534.865,45534.865,45534.865,45534.865,0,0,1
11,11,1633086000000,47081.47,47659.32,46957.48,47488.08,4669.20863,1633089599999,125755,1,93.98246874025824,1,0,0.0,0.0,0.0,1,1,0,1,44002.056418360306,1,44923.99888888889,1,45552.1775,45534.865,45569.49,45534.865,1,0,1
12,12,1633089600000,47488.07,47886.11,47170.23,47214.37,5156.10571,1633093199999,119452,1,87.18258657287527,1,0,0.0,0.0,0.0,1,1,0,1,44380.520776524274,1,45321.61888888889,1,45627.927500000005,45584.57,45671.285,45584.57,1,0,1
13,13,1633093200000,47214.37,47379.99,46957.14,46980.94,2595.13896,1633096799999,71442,1,81.75016031336118,1,0,0.7950171377676175,0.0,0.0,1,1,0,0,44801.19148334136,1,45694.49888888889,1,45642.715,45584.57,45700.86,45584.57,1,0,1
14,14,1633096800000,46980.94,47347.53,46763.68,47130.0,3479.2201,1633100399999,91925,1,82.50003782630239,1,0,0.8034397892300809,0.0,0.0,1,1,1,0,45171.3817053404,1,46058.90666666667,1,45696.0625,45584.57,45807.555,45584.57,1,0,1
